window,subset,class,run,model,f1,recall,precision,support,n,coverage,rank
valid,ST,N1,E16,Ens 0.7ANY+0.3RSN+bias,0.7447,0.7416,0.7479,3653,42691,0.093,1
valid,ST,N1,E18,Ens ANYx3+LGBM+bias,0.7394,0.7168,0.7635,3594,42036,0.092,2
valid,ST,N1,E11,AnySleep 3ch,0.7363,0.7052,0.7703,3653,42691,0.093,3
valid,ST,N2,E11,AnySleep 3ch,0.9207,0.924,0.9174,19851,42691,0.093,1
valid,ST,N2,E16,Ens 0.7ANY+0.3RSN+bias,0.9191,0.917,0.9213,19851,42691,0.093,2
valid,ST,N2,E18,Ens ANYx3+LGBM+bias,0.9116,0.9081,0.9152,19522,42036,0.092,3
valid,ST,N3,E11,AnySleep 3ch,0.8732,0.8934,0.8538,6415,42691,0.093,1
valid,ST,N3,E16,Ens 0.7ANY+0.3RSN+bias,0.8691,0.8864,0.8525,6415,42691,0.093,2
valid,ST,N3,E18,Ens ANYx3+LGBM+bias,0.8604,0.899,0.825,6393,42036,0.092,3
valid,ST,REM,E11,AnySleep 3ch,0.9494,0.9538,0.9451,8349,42691,0.093,1
valid,ST,REM,E16,Ens 0.7ANY+0.3RSN+bias,0.9479,0.9517,0.9442,8349,42691,0.093,2
valid,ST,REM,E11d,AnySleep Fpz+EOG,0.9461,0.9431,0.9491,8349,42691,0.093,3
valid,ST,Wake,E17,Ens ANYx3+LGBM,0.92,0.9116,0.9286,4278,42036,0.092,1
valid,ST,Wake,E18,Ens ANYx3+LGBM+bias,0.9155,0.8955,0.9364,4278,42036,0.092,2
valid,ST,Wake,E16,Ens 0.7ANY+0.3RSN+bias,0.9142,0.8937,0.9356,4423,42691,0.093,3
