window,subset,class,run,model,f1,recall,precision,support,n,coverage
valid,SC,N1,E02c,YASA crop,0.05,0.0263,0.534,21522,195469,0.427
valid,SC,N2,E02c,YASA crop,0.739,0.6637,0.8336,69132,195469,0.427
valid,SC,N3,E02c,YASA crop,0.5552,0.4157,0.8355,13039,195469,0.427
valid,SC,REM,E02c,YASA crop,0.6065,0.4568,0.902,25835,195469,0.427
valid,ST,Wake,E02c,YASA crop,0.4585,0.9881,0.2985,4199,42467,0.093
valid,ST,N1,E02c,YASA crop,0.1685,0.0969,0.6448,3653,42467,0.093
valid,ST,N2,E02c,YASA crop,0.7855,0.7596,0.8132,19851,42467,0.093
valid,ST,N3,E02c,YASA crop,0.6282,0.4895,0.8766,6415,42467,0.093
valid,ST,REM,E02c,YASA crop,0.7669,0.6541,0.9268,8349,42467,0.093
bench,ALL,Wake,E01,YASA Fpz,0.6816,0.8741,0.5586,70140,237936,1.0
bench,ALL,N1,E01,YASA Fpz,0.0998,0.0565,0.4266,25175,237936,1.0
bench,ALL,N2,E01,YASA Fpz,0.7366,0.6842,0.7975,88983,237936,1.0
bench,ALL,N3,E01,YASA Fpz,0.5376,0.4455,0.6775,19454,237936,1.0
bench,ALL,REM,E01,YASA Fpz,0.5571,0.5697,0.5451,34184,237936,1.0
bench,SC,Wake,E01,YASA Fpz,0.6935,0.8725,0.5754,65941,195469,0.822
bench,SC,N1,E01,YASA Fpz,0.0757,0.042,0.378,21522,195469,0.822
bench,SC,N2,E01,YASA Fpz,0.7119,0.6444,0.795,69132,195469,0.822
bench,SC,N3,E01,YASA Fpz,0.4503,0.3689,0.5777,13039,195469,0.822
bench,SC,REM,E01,YASA Fpz,0.4977,0.5256,0.4727,25835,195469,0.822
bench,ST,Wake,E01,YASA Fpz,0.5405,0.8985,0.3865,4199,42467,0.178
bench,ST,N1,E01,YASA Fpz,0.2252,0.1415,0.5506,3653,42467,0.178
bench,ST,N2,E01,YASA Fpz,0.8135,0.8228,0.8044,19851,42467,0.178
bench,ST,N3,E01,YASA Fpz,0.7089,0.6012,0.8636,6415,42467,0.178
bench,ST,REM,E01,YASA Fpz,0.7684,0.7061,0.8427,8349,42467,0.178
valid,ALL,Wake,E01,YASA Fpz,0.8961,0.9475,0.8501,289856,457652,1.0
valid,ALL,N1,E01,YASA Fpz,0.0968,0.0565,0.3382,25175,457652,1.0
valid,ALL,N2,E01,YASA Fpz,0.7245,0.6842,0.7698,88983,457652,1.0
valid,ALL,N3,E01,YASA Fpz,0.5299,0.4455,0.6538,19454,457652,1.0
valid,ALL,REM,E01,YASA Fpz,0.5394,0.5697,0.5123,34184,457652,1.0
